# Generated at ,
# UTC+08,
# Period Selected: ,
#,
# Comment: ,
# Description: ,
# ReportTitle: Hourly Report for Testing,
# Serial No. here,
#,
# CSV data starts at line 12,
#,
TimeStamp,Rainfall@0550161RF
14-12-19 1:00,
14-12-19 2:00,
14-12-19 3:00,
14-12-19 4:00,
14-12-19 5:00,
14-12-19 6:00,
14-12-19 7:00,
14-12-19 8:00,0
14-12-19 9:00,0.19296741
14-12-19 10:00,0.19296741
14-12-19 11:00,2.738883758
14-12-19 12:00,2.050340658
14-12-19 13:00,3.151371376
14-12-19 14:00,26.20996574
14-12-19 15:00,5.580029073
14-12-19 16:00,20.89023133
14-12-19 17:00,10.93014573
14-12-19 18:00,1.714113524
14-12-19 19:00,0.277093596
14-12-19 20:00,0.259372813
14-12-19 21:00,0.253164557
14-12-19 22:00,1.936391067
14-12-19 23:00,0.723123394
15-12-19 0:00,0.126342388
15-12-19 1:00,0.126342388
15-12-19 2:00,0.126342388
15-12-19 3:00,0.726610865
15-12-19 4:00,0.266983091
15-12-19 5:00,0.027217443
15-12-19 6:00,0
15-12-19 7:00,0
15-12-19 8:00,0
15-12-19 9:00,0.117340287
15-12-19 10:00,0.117340287
15-12-19 11:00,0.117340287
15-12-19 12:00,0.117340287
15-12-19 13:00,11.70221109
15-12-19 14:00,6.746366697
15-12-19 15:00,3.766197296
15-12-19 16:00,0.402070669
15-12-19 17:00,29.85917772
15-12-19 18:00,0.420541311
15-12-19 19:00,13.63407407
15-12-19 20:00,6.14162266
15-12-19 21:00,2.732486604
15-12-19 22:00,0.874569256
15-12-19 23:00,2.82913605
16-12-19 0:00,0.745493701
16-12-19 1:00,0.341353383
16-12-19 2:00,0.270676692
16-12-19 3:00,1.484766435
16-12-19 4:00,0.748430608
16-12-19 5:00,0.331464611
16-12-19 6:00,0
16-12-19 7:00,0
16-12-19 8:00,0
16-12-19 9:00,0.251572327
16-12-19 10:00,0.258858827
16-12-19 11:00,0.750255601
16-12-19 12:00,0.473927821
16-12-19 13:00,0.416172382
16-12-19 14:00,0.349213041
16-12-19 15:00,
16-12-19 16:00,
16-12-19 17:00,
16-12-19 18:00,
16-12-19 19:00,
16-12-19 20:00,
16-12-19 21:00,
16-12-19 22:00,
16-12-19 23:00,
17-12-19 0:00,
