# Generated at ,
# UTC+08,
# Period Selected:,
#,
# Comment: ,
# Description: ,
# ReportTitle: Yearly Report for Testing,
# Serial No. here,
#,
# CSV data starts at line 12,
#,
TimeStamp,Rainfall@0550161RF
01-01-00 0:00,1552.138216
01-01-01 0:00,2229
01-01-02 0:00,1769.3
01-01-03 0:00,939
01-01-04 0:00,925
01-01-05 0:00,559.9
01-01-06 0:00,464.6
01-01-07 0:00,
01-01-08 0:00,
01-01-09 0:00,334.5
01-01-10 0:00,1299.5
01-01-11 0:00,1860.85812
01-01-12 0:00,1570.125728
01-01-13 0:00,1643.451684
01-01-14 0:00,1933.564468
01-01-15 0:00,1463.5
01-01-16 0:00,1554.169008
01-01-17 0:00,924.6958209
01-01-18 0:00,2114.302847
01-01-19 0:00,1387.332323
01-01-20 0:00,1465
01-01-21 0:00,1084
